Model,Mode,N,Score,95% CI,Std,Success%,Failure%
Baseline,NoThink,18,27.2,"[19.9, 34.4]",14.5,0,0
Baseline,Think,18,23.7,"[19.2, 28.3]",9.1,0,0
GRPO-DPO,NoThink,18,26.4,"[20.4, 32.5]",12.2,0,0
GRPO-DPO,Think,18,24.8,"[19.9, 29.6]",9.7,0,0
GRPO-DPO-Curriculum,NoThink,18,24.1,"[18.8, 29.3]",10.6,0,0
GRPO-DPO-Curriculum,Think,18,25.3,"[21.3, 29.3]",8.1,0,0
REINFORCE,NoThink,18,25.7,"[19.0, 32.5]",13.6,0,0
REINFORCE,Think,18,25.3,"[20.3, 30.2]",10.0,0,0
REINFORCE-Curriculum,NoThink,18,27.9,"[21.1, 34.6]",13.6,0,0
REINFORCE-Curriculum,Think,18,27.1,"[20.4, 33.7]",13.3,0,0
