model,trajectory_type,mean_score,success_rate,mean_reward
Baseline,EMOTIONAL_FLOODING,48.3333,0.1667,0.4947
Baseline,ESCALATION,20.0,0.0,0.4511
Baseline,FACT_EMOTION_CONTRADICTION,20.0,0.0,0.3914
Baseline,GASLIGHTING,20.3333,0.0,0.341
Baseline,MOOD_REVERSAL,19.3333,0.0,0.3515
Baseline,VALIDATION_MANIPULATION,24.6667,0.0,0.3778
GRPO-DPO,EMOTIONAL_FLOODING,47.8333,0.0,0.4993
GRPO-DPO,ESCALATION,21.0,0.0,0.4079
GRPO-DPO,FACT_EMOTION_CONTRADICTION,20.0,0.0,0.3885
GRPO-DPO,GASLIGHTING,21.6667,0.0,0.3445
GRPO-DPO,MOOD_REVERSAL,18.5,0.0,0.3599
GRPO-DPO,VALIDATION_MANIPULATION,24.6667,0.0,0.3718
GRPO-DPO-Curriculum,EMOTIONAL_FLOODING,43.3333,0.0,0.446
GRPO-DPO-Curriculum,ESCALATION,23.0,0.0,0.4389
GRPO-DPO-Curriculum,FACT_EMOTION_CONTRADICTION,19.0,0.0,0.3713
GRPO-DPO-Curriculum,GASLIGHTING,20.0,0.0,0.3526
GRPO-DPO-Curriculum,MOOD_REVERSAL,20.0,0.0,0.3486
GRPO-DPO-Curriculum,VALIDATION_MANIPULATION,22.8333,0.0,0.3894
REINFORCE,EMOTIONAL_FLOODING,49.6667,0.1667,0.4645
REINFORCE,ESCALATION,19.6667,0.0,0.3942
REINFORCE,FACT_EMOTION_CONTRADICTION,19.6667,0.0,0.3784
REINFORCE,GASLIGHTING,20.0,0.0,0.3687
REINFORCE,MOOD_REVERSAL,19.0,0.0,0.3514
REINFORCE,VALIDATION_MANIPULATION,25.0,0.0,0.3833
REINFORCE-Curriculum,EMOTIONAL_FLOODING,51.5,0.0,0.4639
REINFORCE-Curriculum,ESCALATION,21.6667,0.0,0.4196
REINFORCE-Curriculum,FACT_EMOTION_CONTRADICTION,20.0,0.0,0.4085
REINFORCE-Curriculum,GASLIGHTING,20.0,0.0,0.3656
REINFORCE-Curriculum,MOOD_REVERSAL,19.3333,0.0,0.3561
REINFORCE-Curriculum,VALIDATION_MANIPULATION,32.3333,0.0,0.3707
